group,path,revision,bytes,git_blob,lfs_sha256,url,download_url,bundled_path,sha256,status,download_http_status
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/splits.npz,cd80ba2588bb6d4291edf621176ea654bcbf2507,11806084,236ed8eda863c5ec9f309ff7d777c286c7f178ee,3d8ed26b8656de3dc34c6d5cae97a7685b8496119cf6925ffa458ea4dd4ee983,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/splits.npz,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/splits.npz,,,remote_only_large_file,200
answer_32k,issue2552_derreplication/exactrep/analysis_tensors/sae_rep/train_log.json,cd80ba2588bb6d4291edf621176ea654bcbf2507,1575,6cbeb87e315c390db2aec1973ecda88bf42b2fd3,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/train_log.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/cd80ba2588bb6d4291edf621176ea654bcbf2507/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/train_log.json,sae_assets/issue2552_derreplication/exactrep/analysis_tensors/sae_rep/train_log.json,124b06acca535e2d6118a36fe813674cd24dcdd9b340fc93dcddb010e9332ba5,bundled_verified,
context_65k,issue2569_theory/analysis_tensors/sae_ctx/ae.pt,a5cf03bbe4807361a74c427a46ad329065f75e30,1879327837,2b8b1d9073dfc33e23c8a0894e92ca6740effab5,728a7ab697cca8c02fc26964dd17d5f8c1c583829a0a46a85139c5ee7d163717,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/ae.pt,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/ae.pt,,,remote_only_large_file,200
context_65k,issue2569_theory/analysis_tensors/sae_ctx/alive_union.json,a5cf03bbe4807361a74c427a46ad329065f75e30,710353,d546db0a22526bd20ed819966cba46bbd472e6ae,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/alive_union.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/alive_union.json,sae_assets/issue2569_theory/analysis_tensors/sae_ctx/alive_union.json,b8f4db7cab9a500667350e4a37190208bd519e34ba709230ebaa14ede8ae3911,bundled_verified,
context_65k,issue2569_theory/analysis_tensors/sae_ctx/config.json,a5cf03bbe4807361a74c427a46ad329065f75e30,1035,025f83f6493991400fccff1394eec50738054de0,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/config.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/config.json,sae_assets/issue2569_theory/analysis_tensors/sae_ctx/config.json,a6e82c1a8de6a982197a14c762fd41a1272db58ce252b30ce27fcbe505a48a11,bundled_verified,
context_65k,issue2569_theory/analysis_tensors/sae_ctx/gates_sae_ctx.json,a5cf03bbe4807361a74c427a46ad329065f75e30,538,0a238283cd85c651d658f4867a3c4d9a67d2aaab,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/gates_sae_ctx.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/gates_sae_ctx.json,sae_assets/issue2569_theory/analysis_tensors/sae_ctx/gates_sae_ctx.json,df4761e8d84fadadc256bdd242b05136a03197d1460ed6b2fb2793eb6908a3ad,bundled_verified,
context_65k,issue2569_theory/analysis_tensors/sae_ctx/regime.json,a5cf03bbe4807361a74c427a46ad329065f75e30,1616,5f97abe1b9259b511e549d6b4613228755b73a28,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/regime.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/regime.json,sae_assets/issue2569_theory/analysis_tensors/sae_ctx/regime.json,a8161918078146f3e524476b71603a1e4c1ccd7872eabad5cc016c3b99d1b627,bundled_verified,
context_65k,issue2569_theory/analysis_tensors/sae_ctx/train_log.json,a5cf03bbe4807361a74c427a46ad329065f75e30,1917,15edd4a8bfbb28c52528182242afd10bf8c18267,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/train_log.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2569_theory/analysis_tensors/sae_ctx/train_log.json,sae_assets/issue2569_theory/analysis_tensors/sae_ctx/train_log.json,c984364727d6673af47928f216a80d7a76b3af831dc11278f12654ed478081ef,bundled_verified,
answer_65k,issue2476_turnavg/analysis_tensors/sae_c/cfg.json,a5cf03bbe4807361a74c427a46ad329065f75e30,762,366dc4700c917781fe1b73b66aafca003a64ea52,,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/cfg.json,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/cfg.json,sae_assets/issue2476_turnavg/analysis_tensors/sae_c/cfg.json,a8c30d49a6086308944f845f820ed6ac80b18ce55214501654137232a78ff332,bundled_verified,
answer_65k,issue2476_turnavg/analysis_tensors/sae_c/sae_weights.safetensors,a5cf03bbe4807361a74c427a46ad329065f75e30,1879325052,eb3c5e551ade557194041935024abf5beb078a16,30093b4fe54ab27701f560876a9bb742a818f9bb50d74340f17bd0ae923215cf,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/blob/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/sae_weights.safetensors,https://huggingface.co/datasets/superkaiba1/explore-persona-space-data/resolve/a5cf03bbe4807361a74c427a46ad329065f75e30/issue2476_turnavg/analysis_tensors/sae_c/sae_weights.safetensors,,,remote_only_large_file,200
