behavior,regime,variant,u_rung_label,budget_l,draw,seed,f_u,f_l,delta_rho_frozen,ci_lo_inherited,ci_hi_inherited,rho_arm6,rho_arm2
evil,e2p,context_end,250,250,1,2,,,-0.23311299703207217,-0.3164090283100726,-0.11274366641970691,0.37268820564329636,0.6058012026753685
evil,e1,context_end,250,250,2,0,,,-0.28143125883975784,-0.37363687990103817,-0.18567061592118758,0.3736290485103392,0.655060307350097
evil,e2,context_end,250,250,2,0,,,-0.5072839250883961,-0.5867557437440083,-0.3621788766529992,0.14777638226170084,0.655060307350097
evil,e2p,context_end,250,250,2,0,,,-0.3681572006368973,-0.421236963407256,-0.24210358233078344,0.28690310671319974,0.655060307350097
evil,e1,context_end,250,250,2,1,,,-0.01012209445240908,-0.07411072160601241,0.04108744257214105,0.61590741381679,0.6260295082691991
evil,e2,context_end,250,250,2,1,,,-0.24610720630605826,-0.39722368671140923,-0.11426823432963434,0.37992230196314086,0.6260295082691991
evil,e2p,context_end,250,250,2,1,,,-0.0660879152738375,-0.17386377150464397,0.017394814150082618,0.5599415929953616,0.6260295082691991
evil,e1,context_end,250,250,2,2,,,-0.1385965586788767,-0.28148737994294803,0.004551134670258214,0.34024551043051804,0.47884206910939475
evil,e2,context_end,250,250,2,2,,,-0.2964071624047179,-0.3908220827022639,-0.1366313104526442,0.18243490670467682,0.47884206910939475
evil,e2p,context_end,250,250,2,2,,,-0.08341625309658923,-0.2209017895492145,0.03353675928720588,0.3954258160128055,0.47884206910939475
evil,e1,context_end,250,250,3,0,,,-0.26397958317011844,-0.35755276531894686,-0.17186650450150967,0.4043874336905329,0.6683670168606514
evil,e2,context_end,250,250,3,0,,,-0.3958961887063423,-0.4766127491636358,-0.2640046051978763,0.27247082815430906,0.6683670168606514
evil,e2p,context_end,250,250,3,0,,,-0.2462552527976335,-0.34394255216192365,-0.15153320025254477,0.42211176406301787,0.6683670168606514
evil,e1,context_end,250,250,3,1,,,-0.47165710529241744,-0.5238354404804616,-0.3266111332406594,0.16238835735672877,0.6340454626491462
evil,e2,context_end,250,250,3,1,,,-0.40310666603091244,-0.4539431372925425,-0.26230428199064226,0.23093879661823374,0.6340454626491462
evil,e2p,context_end,250,250,3,1,,,-0.40131432743696904,-0.45266912894864636,-0.2650623826163424,0.23273113521217714,0.6340454626491462
evil,e1,context_end,250,250,3,2,,,-0.2688428574057832,-0.32982525044039024,-0.14807151505776248,0.35911879270550195,0.6279616501112851
evil,e2,context_end,250,250,3,2,,,-0.296767518958495,-0.4007805587927422,-0.20724674462775458,0.3311941311527901,0.6279616501112851
evil,e2p,context_end,250,250,3,2,,,-0.2745070283823599,-0.40660488649341475,-0.15094540529337735,0.3534546217289252,0.6279616501112851
evil,e1,context_end,250,250,4,0,,,-0.17999930518386825,-0.2471832518797103,-0.0741226253367301,0.36789754836874683,0.5478968535526151
evil,e2,context_end,250,250,4,0,,,-0.2773856224168328,-0.3487371071550194,-0.1304563622907441,0.2705112311357823,0.5478968535526151
evil,e2p,context_end,250,250,4,0,,,-0.1871076902473623,-0.25974627923558424,-0.06943666546337576,0.3607891633052528,0.5478968535526151
evil,e1,context_end,250,250,4,1,,,-0.38394365339117265,-0.47352721578132434,-0.27080344732374667,0.33247236755885456,0.7164160209500272
evil,e2,context_end,250,250,4,1,,,-0.5121986864904565,-0.5946620145402466,-0.36517760193149507,0.20421733445957072,0.7164160209500272
evil,e2p,context_end,250,250,4,1,,,-0.4758892252051829,-0.5561515648274887,-0.3407062550457867,0.2405267957448443,0.7164160209500272
evil,e1,context_end,250,250,4,2,,,-0.333281942172099,-0.3985370340836382,-0.22810728406662453,0.3584842517822406,0.6917661939543396
evil,e2,context_end,250,250,4,2,,,-0.4464795889162863,-0.5155045403041224,-0.308757922046121,0.24528660503805327,0.6917661939543396
evil,e2p,context_end,250,250,4,2,,,-0.25968527174819506,-0.3267372115713839,-0.15531809694362364,0.4320809222061445,0.6917661939543396
evil,e1,context_end,250,2500,0,0,,,-0.3693247048108373,-0.3904689343315888,-0.3303477685211032,0.2918877383253989,0.6612124431362362
evil,e2,context_end,250,2500,0,0,,,-0.5376650132911899,-0.563676935722636,-0.486038159148505,0.12354742984504628,0.6612124431362362
evil,e2p,context_end,250,2500,0,0,,,-0.3574923597363715,-0.39855842056237356,-0.3186968209077138,0.30372008339986467,0.6612124431362362
